alternativu                   alternat
přenosy                       prenos
příběh                        pribeh
příslušnost                   prislus
přístroj                      pristroj
přístroje                     pristroj
přístrojů                     pristroj
půllitru                      pullitr
půllitrům                     pullitr
pulty                         pult
recepturu                     recep
regionu                       reg
reputaci                      reput
resuscitace                   resuscit
rok                           rok
roku                          rok
ropa                          rop
ropy                          rop
růstu                         rust
rychlosti                     rychlost
rychlostí                     rychlos
ředitel                       red
řetězce                       retez
řetězcích                     retez
řetězců                       retez
samozřejmostí                 samozrejmos
sedmina                       sedm
signály                       sign
sítě                          sit
situace                       sit
situaci                       sit
situaci                       sit
skutečnosti                   skutecnost
skutečnosti                   skutecnost
skvrna                        skvrn
sládka                        slad
sladoven                      slad
složení                       sloz
snahou                        snah
souvislosti                   souvislost
spojení                       spoj
společnost                    spolec
společnosti                   spolecnost
společností                   spolecnos
spotřebitelé                  spotreb
spotřebitelů                  spotreb
spotřebu                      spotr
srovnání                      srovn
stanice                       stan
stolu                         stol
stovky                        stov
stupeň                        stup
stupněm                       stupnem
stupňovitostí                 stupnovitos
surovin                       surovin
svět                          svet
světa                         svet
světě                         svet
systému                       system
tankeru                       tanker
technologiemi                 technolog
telefonem                     telef
telefonování                  telefonov
telefonů                      telefon
telefony                      telef
telegraf                      tel
telegrafu                     tel
telekomunikací                telekomunikac
tisíc                         tisic
tisku                         tis
trend                         trend
trhu                          trh
týden                         tyd
týdny                         tyd
účastníkovi                   ucastn
údaj                          udaj
údaje                         udaj
úkol                          ukol
Únik                          Únik
úniku                         un
univerzity                    univerzit
uprostřed                     uprostred
Úřady                         Úrad
úvaha                         uvah
vaření                        var
vědci                         ved
vědců                         ved
vědec                         ved
ventilu                       vent
verzi                         ver
větru                         vetr
videa                         vid
vláda                         vlad
vlády                         vlad
vlastník                      vlast
vlny                          vln
vodu                          vod
vody                          vod
vrtu                          vrt
výbuchu                       vybuch
vydání                        vyd
vydání                        vyd
výkonu                        vyk
vynálezce                     vynalez
výpočtu                       vypoct
výrobci                       vyrob
výrobu                        vyr
výroby                        vyr
využití                       vyuz
výzkum                        vyz
vzdálenosti                   vzdalenost
začátku                       zac
zákazníci                     zakaz
základě                       zaklad
záležitostí                   zalezitos
zálivu                        zal
západ                         zapad
zařízení                      zariz
zástavba                      zastav
závěru                        zaver
záznam                        zaznam
zemi                          zem
získání                       zisk
změna                         zmen
změně                         zmen
značky                        znac
zprávy                        zprav
způsob                        zpusob
způsobem                      zpusob
zveřejnění                    zverejn

